id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,kategori_siswa,jumlah_siswa,satuan,tahun
27,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,SDN 027 CICADAS KOTA BANDUNG,20245149,SK SISWA,255,ORANG,2018
28,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,SDN 028 GUMURUH KOTA BANDUNG,20244864,SK SISWA,367,ORANG,2018
29,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,SDN 029 CILENGKRANG KOTA BANDUNG,20245494,SK SISWA,211,ORANG,2018
30,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,SDN 030 CIRATEUN KOTA BANDUNG,20245140,SK SISWA,28,ORANG,2018
31,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,SDN 031 PELESIRAN KOTA BANDUNG,20245749,SK SISWA,173,ORANG,2018
32,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,SDN 032 TILIL KOTA BANDUNG,20245822,SK SISWA,246,ORANG,2018
33,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,SDN 033 ASMI KOTA BANDUNG,20245201,SK SISWA,180,ORANG,2018
34,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,SDN 034 PATRAKOMALA KOTA BANDUNG,20245745,SK SISWA,66,ORANG,2018
35,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,SDN 035 SOKA KOTA BANDUNG,20245781,SK SISWA,40,ORANG,2018
36,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,SDN 036 UJUNGBERUNG KOTA BANDUNG,20245826,SK SISWA,798,ORANG,2018
37,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,SDN 037 SABANG KOTA BANDUNG,20245285,SK SISWA,39,ORANG,2018
38,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,SDN 038 KIARACONDONG KOTA BANDUNG,20245701,SK SISWA,163,ORANG,2018
39,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,SDN 039 TEGALEGA KOTA BANDUNG,20245095,SK SISWA,113,ORANG,2018
40,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,SDN 040 PASAWAHAN KOTA BANDUNG,20245073,SK SISWA,436,ORANG,2018
41,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,SDN 041 CIBUNTU WARUNG MUNCANG KOTA BANDUNG,20244744,SK SISWA,242,ORANG,2018
42,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,SDN 042 GAMBIR KOTA BANDUNG,20244857,SK SISWA,242,ORANG,2018
43,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,SDN 043 CIMUNCANG KOTA BANDUNG,20245178,SK SISWA,371,ORANG,2018
44,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,SDN 044 CICADAS AWIGOMBONG KOTA BANDUNG,20245157,SK SISWA,425,ORANG,2018
45,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,SDN 045 PASIRKALIKI KOTA BANDUNG,20245735,SK SISWA,62,ORANG,2018
46,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,SDN 046 SINDANGLAYA KOTA BANDUNG,20245768,SK SISWA,160,ORANG,2018
47,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,SDN 047 BALONGGEDE KOTA BANDUNG,20251861,SK SISWA,246,ORANG,2018
48,32,JAWA BARAT,3273,KOTA BANDUNG,3273240,SUKAJADI,32.73.07,SUKAJADI,SDN 048 SIRNAMANAH KOTA BANDUNG,20244920,SK SISWA,152,ORANG,2018
49,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,SDN 049 DURMAN KOTA BANDUNG,20245193,SK SISWA,199,ORANG,2018
50,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,SDN 050 CIBIRU KOTA BANDUNG,20245488,SK SISWA,116,ORANG,2018
51,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,SDN 051 PASIRKALIKI KOTA BANDUNG,20245740,SK SISWA,97,ORANG,2018
52,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,SDN 052 CISARANTEN WETAN GEDEBAGE KOTA BANDUNG,20245534,SK SISWA,306,ORANG,2018
53,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,SDN 053 CISITU KOTA BANDUNG,20245537,SK SISWA,148,ORANG,2018
54,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,SDN 054 TIKUKUR KOTA BANDUNG,20245817,SK SISWA,186,ORANG,2018
55,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,SDN 055 JATIHANDAP KOTA BANDUNG,20245598,SK SISWA,143,ORANG,2018
56,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,SDN 056 GARUDA DADALI KOTA BANDUNG,20245196,SK SISWA,326,ORANG,2018
57,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,SDN 057 BINAHARAPAN KOTA BANDUNG,20245481,SK SISWA,228,ORANG,2018
58,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,SDN 058 BABAKAN CIPARAY KOTA BANDUNG,20245014,SK SISWA,153,ORANG,2018
59,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,SDN 059 CIRANGRANG KOTA BANDUNG,20245025,SK SISWA,216,ORANG,2018
60,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,SDN 060 RAYA BARAT KOTA BANDUNG,20245078,SK SISWA,251,ORANG,2018
61,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,SDN 061 CIJERAH KOTA BANDUNG,20244841,SK SISWA,134,ORANG,2018
62,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,SDN 062 CIUJUNG KOTA BANDUNG,20245187,SK SISWA,65,ORANG,2018
63,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,SDN 063 KEBON GEDANG KOTA BANDUNG,20245950,SK SISWA,598,ORANG,2018
64,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,SDN 064 PADASUKA KOTA BANDUNG,20245247,SK SISWA,228,ORANG,2018
65,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,SDN 065 CIHAMPELAS KOTA BANDUNG,20245514,SK SISWA,161,ORANG,2018
66,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,SDN 066 HALIMUN KOTA BANDUNG,20245031,SK SISWA,181,ORANG,2018
67,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,SDN 067 NILEM KOTA BANDUNG,20245050,SK SISWA,83,ORANG,2018
68,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,32.73.30,MANDALAJATI,SDN 068 SINDANGLAYA KOTA BANDUNG,20245769,SK SISWA,216,ORANG,2018
69,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,SDN 069 CIPAMOKOLAN DERWATI KOTA BANDUNG,20245502,SK SISWA,561,ORANG,2018
70,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,SDN 070 PASIRLUYU KOTA BANDUNG,20246459,SK SISWA,207,ORANG,2018
